LONG	LAT	AMT	MDR	ISO	TSN	MWMT	MCMT	TAR	MWeQT	MDQT	MWQT	MCQT	AP	PWM	PDM	PS	PWeQ	PDQ	PWQ	PCQ	ID1
229	-124.71	55.38	0	109	28	9182	192	-192	384	113	-50	113	-123	513	57	23	24	163	86	163	134	lp
230	-122.13	52.76	37	121	32	8348	224	-144	368	140	-7	140	-74	622	67	32	23	198	103	198	156	lp
231	-120.7	49.8	44	115	33	7866	231	-110	341	-51	43	143	-60	411	53	24	27	149	78	95	136	lp
232	-126.28	55.06	18	121	31	8741	205	-175	380	-86	-32	124	-102	535	59	22	24	169	89	146	153	lp
233	-122.5	53.31	35	122	32	8514	225	-152	377	139	-8	139	-79	635	67	29	22	196	104	196	160	lp
234	-117.2	51.55	27	115	30	8768	228	-149	377	-82	30	137	-89	808	104	42	28	290	137	194	273	lp
235	-123.1	51.61	12	142	36	7992	203	-186	389	111	-31	111	-91	345	46	15	34	128	50	128	81	lp
236	-123.79	55.5	-2	108	28	9172	190	-188	378	112	-56	112	-123	580	66	24	23	183	101	183	151	lp
237	-120.38	49.58	36	119	33	7987	229	-122	351	-60	-9	137	-69	356	44	19	24	119	66	95	109	lp
238	-120.4	50.85	45	109	31	7994	231	-115	346	147	1	147	-59	389	42	20	23	120	65	120	102	lp
